author,month,rank,review,title,year
by Gary Taubes,2.0,7.0,https://www.nytimes.com/2017/01/02/books/review/case-against-sugar-gary-taubes.html,CASE AGAINST SUGAR,2017.0
by Charles Duhigg,2.0,8.0,,THE POWER OF HABIT,2017.0
by Angela Duckworth,2.0,9.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2017.0
by Angie Morgan,2.0,10.0,,SPARK,2017.0
by Chip Gaines and Joanna Gaines with Mark Dagostino,3.0,1.0,,THE MAGNOLIA STORY,2017.0
by Tim Ferriss,3.0,2.0,,TOOLS OF TITANS,2017.0
by Michael Lewis,3.0,3.0,,THE UNDOING PROJECT,2017.0
by Thomas L. Friedman,3.0,4.0,https://www.nytimes.com/2016/11/22/books/review/thomas-friedman-thank-you-for-being-late.html,THANK YOU FOR BEING LATE,2017.0
by Daniel Kahneman,3.0,5.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2017.0
by Sheelah Kolhatkar,3.0,6.0,https://www.nytimes.com/2017/02/07/books/review/black-edge-sheelah-kolhatkar.html,BLACK EDGE,2017.0
